MonsterName,AttackName,isMelee,isRanged,isWeapon,isSpell,toHitBonus,reach,range,rangeMax,numberTargets,damageAverage,damageDice,damageType
Aboleth,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Aboleth,Tentacle,True,False,True,False,9,10,None,None,1,15,3d6+5,bludgeoning
Aboleth,Psychic Bolt,False,True,False,True,8,None,120,None,1,14,3d6+4,psychic
Aboleth,Psychic Torrent (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Acolyte,Mace,True,False,True,False,2,5,None,None,1,3,1d6,bludgeoning
Acolyte,Radiant Bolt,False,True,False,True,6,None,60,None,1,6,1d4+4,radiant
Acolyte,Spellcasting,False,False,False,False,0,None,None,None,0,None,None,None
Adult Black Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Black Dragon,Bite,True,False,True,False,12,10,None,None,1,18,2d10+7,piercing
Adult Black Dragon,Claw,True,False,True,False,12,5,None,None,1,14,2d6+7,slashing
Adult Black Dragon,Tail,True,False,True,False,12,15,None,None,1,16,2d8+7,bludgeoning
Adult Black Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Black Dragon,Acid Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Blue Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Blue Dragon,Bite,True,False,True,False,12,10,None,None,1,18,2d10+7,piercing
Adult Blue Dragon,Claw,True,False,True,False,12,5,None,None,1,14,2d6+7,slashing
Adult Blue Dragon,Tail,True,False,True,False,12,15,None,None,1,16,2d8+7,bludgeoning
Adult Blue Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Blue Dragon,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Brass Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Brass Dragon,Bite,True,False,True,False,11,10,None,None,1,17,2d10+6,piercing
Adult Brass Dragon,Claw,True,False,True,False,11,5,None,None,1,13,2d6+6,slashing
Adult Brass Dragon,Tail,True,False,True,False,11,15,None,None,1,15,2d8+6,bludgeoning
Adult Brass Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Brass Dragon,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Brass Dragon,Sleep Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Bronze Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Bronze Dragon,Bite,True,False,True,False,12,10,None,None,1,18,2d10+7,piercing
Adult Bronze Dragon,Claw,True,False,True,False,12,5,None,None,1,14,2d6+7,slashing
Adult Bronze Dragon,Tail,True,False,True,False,12,15,None,None,1,16,2d8+7,bludgeoning
Adult Bronze Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
